case_id,preset,seed,solid_probability,rho_min,reference_rho_min,penal,n_elem,solid_count,solid_fraction,sensitivity_convention,setup_time_s,solve_time_s,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,compliance,reference_compliance,rel_compliance_change,rel_dc_l2_all,rel_dc_l2_solid,rel_dc_l2_void,rel_dc_linf_all,rel_dc_linf_solid,pearson_dc_solid,history_len,source_dir
cantilever_gpu_medium_s61_q0.25,cantilever_gpu_medium,61,0.25,0.001,1e-12,4.5,64000,15851,0.247671875,floor_substituted_density_derivative,0.0217071999999802,7.593792699999994,1,1,47,6.6561668612664e-07,31.465291521029187,37.08160578811616,-0.1514582270028576,0.1410717827609663,0.1410717827609663,3.785981131231211e+23,0.0364464126578269,0.0364464126578269,0.992958535281348,48,cantilever_s61
cantilever_gpu_medium_s61_q0.25,cantilever_gpu_medium,61,0.25,0.01,1e-12,4.5,64000,15851,0.247671875,floor_substituted_density_derivative,0.0206148000000041,4.924096999999989,1,1,39,7.756317568167252e-07,17.621141964944908,37.08160578811616,-0.5248010006461993,0.4039419056075295,0.4039419056068777,2.26408119051516e+26,0.2206572418630405,0.2206572418630405,0.9428616883152248,40,cantilever_s61
cantilever_gpu_medium_s61_q0.3,cantilever_gpu_medium,61,0.3,1e-12,1e-12,4.5,64000,19071,0.297984375,floor_substituted_density_derivative,0.0244806000000039,7.099528300000003,1,1,38,5.022279826283805e-07,17.850168772396735,17.850168772396735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39,cantilever_s61
cantilever_gpu_medium_s61_q0.3,cantilever_gpu_medium,61,0.3,0.001,1e-12,4.5,64000,19071,0.297984375,floor_substituted_density_derivative,0.0244530999999881,5.403437999999994,1,1,36,3.098769179024652e-07,16.827937530450363,17.850168772396735,-0.0572673152271331,0.0380587061913823,0.0380587061913823,3.647896012164452e+23,0.0269901572014088,0.0269901572014088,0.9996902699133972,37,cantilever_s61
cantilever_gpu_medium_s61_q0.3,cantilever_gpu_medium,61,0.3,0.01,1e-12,4.5,64000,19071,0.297984375,floor_substituted_density_derivative,0.0209729999999979,4.046967799999976,1,1,33,9.645111849126985e-07,12.316079871254214,17.850168772396735,-0.3100300603151922,0.2148438369487226,0.2148438369477561,5.352568169862363e+26,0.1828811814015716,0.1828811814015716,0.990928427107136,34,cantilever_s61
cantilever_gpu_medium_s61_q0.35,cantilever_gpu_medium,61,0.35,1e-12,1e-12,4.5,64000,22308,0.3485625,floor_substituted_density_derivative,0.0220045000000084,4.8844674000000055,1,1,28,2.6997591025372906e-07,10.448346431642126,10.448346431642126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29,cantilever_s61
cantilever_gpu_medium_s61_q0.35,cantilever_gpu_medium,61,0.35,0.001,1e-12,4.5,64000,22308,0.3485625,floor_substituted_density_derivative,0.0242712000000153,3.997877700000004,1,1,27,5.514232256066355e-07,10.192284491781464,10.448346431642126,-0.0245074128749401,0.0109305076131347,0.0109305076131347,3.974085955784787e+23,0.0085977050231622,0.0085977050231622,0.9999820699076756,28,cantilever_s61
cantilever_gpu_medium_s61_q0.35,cantilever_gpu_medium,61,0.35,0.01,1e-12,4.5,64000,22308,0.3485625,floor_substituted_density_derivative,0.020308099999994,3.398792899999989,1,1,28,8.998584071509701e-07,8.656087253857043,10.448346431642126,-0.1715351983695088,0.0848629838422727,0.084862983841548,9.153903897977442e+26,0.0762086175858541,0.0762086175858541,0.9992967055544406,29,cantilever_s61
cantilever_gpu_medium_s67_q0.2,cantilever_gpu_medium,67,0.2,1e-12,1e-12,4.5,64000,12914,0.20178125,floor_substituted_density_derivative,16.1535799,34.20519590000001,1,1,182,8.136708012473915e-07,129.19334250009828,129.19334250009828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,183,cantilever_s67
cantilever_gpu_medium_s67_q0.2,cantilever_gpu_medium,67,0.2,0.001,1e-12,4.5,64000,12914,0.20178125,floor_substituted_density_derivative,0.0258888999999982,11.084915700000003,1,1,73,8.485254680228222e-07,74.72211958155678,129.19334250009828,-0.421625618351813,0.4109331453807524,0.4109331453807525,9.817035525172636e+24,0.09864871009614,0.09864871009614,0.9289001682757576,74,cantilever_s67
