preset,seed,solid_probability,rho_min,penal,lambda_min,lambda_max,kappa,kappa_times_eps,rel_residual,converged,n_free,eig_time_s
cantilever_3d,13,0.15,1e-05,4.5,1.975047225174971e-08,4.862781154121726,246210880.03052324,5.466979758462181e-08,2.3772169959114505e-10,1,6552,0.4892414999194443
cantilever_3d,13,0.15,0.0001,4.5,9.2300913306953e-08,4.8630135764957085,52686516.332979545,1.1698756704032652e-08,3.2181284888092225e-11,1,6552,0.4810138999018818
cantilever_3d,13,0.15,0.001,4.5,4.7524666470901803e-07,4.865338570361985,10237501.768352048,2.27318203557304e-09,4.986498379721553e-12,1,6552,0.4761134000727907
cantilever_3d,13,0.15,0.01,4.5,3.2813474013994715e-06,4.8886659809687485,1489834.9314930101,3.308098087668765e-10,9.68177235296397e-13,1,6552,0.47150710003916174
cantilever_3d,13,0.18,1e-12,4.5,7.014803889153305e-15,5.104785744193759,727716102240160.0,0.16158543441950002,0.001049229105801872,0,6552,0.49025769997388124
cantilever_3d,13,0.18,1e-10,4.5,7.050901709969156e-13,5.104785744481861,7239904844034.751,0.0016075818107885167,9.452175082057446e-06,0,6552,0.48743300000205636
cantilever_3d,13,0.18,1e-08,4.5,7.04861033927211e-11,5.104785773290647,72422584418.50261,1.608104414485614e-05,1.2573241687408904e-07,1,6552,0.4969870999921113
cantilever_3d,13,0.18,1e-06,4.5,6.8278727804249586e-09,5.104788654169787,747639684.9110699,1.660093584623534e-07,1.2712771376225635e-09,1,6552,0.4974685999331996
cantilever_3d,13,0.18,1e-05,4.5,5.3782146911686924e-08,5.10481484405162,94916531.54780138,2.1075703748385827e-08,1.4139319571799422e-10,1,6552,0.4928150000050664
cantilever_3d,13,0.18,0.0001,4.5,2.1484628018212317e-07,5.105076749949684,23761531.945641126,5.2761199732833944e-09,2.0586383154978065e-11,1,6552,0.494520099950023
cantilever_3d,13,0.18,0.001,4.5,7.470633796771053e-07,5.107696517309474,6837032.380729351,1.518126153838695e-09,4.5503607267788394e-12,1,6552,0.4671514999354258
cantilever_3d,13,0.18,0.01,4.5,4.067576020464266e-06,5.133965440080593,1262168.282596624,2.8025765765807264e-10,9.475304697704319e-13,1,6552,0.4691447999794036
cantilever_3d,13,0.2,1e-12,4.5,1.3592077313929873e-14,5.505812414939918,405075124852127.8,0.08994474606274845,0.00047655027524856836,0,6552,0.4762600000249222
cantilever_3d,13,0.2,1e-10,4.5,1.3620910043332396e-12,5.505812415192034,4042176622322.8213,0.0008975435111408683,4.530335731483643e-06,0,6552,0.47440970002207905
cantilever_3d,13,0.2,1e-08,4.5,1.3617699773476878e-10,5.5058124404021545,40431295534.40293,8.977551043543681e-06,5.1575644655379935e-08,1,6552,0.47704799997154623
cantilever_3d,13,0.2,1e-06,4.5,1.3301115785512107e-08,5.505814961415849,413936323.10252607,9.191232732742051e-08,4.995627277835361e-10,1,6552,0.4828717999625951
